Structure Name,CIF ( XRD ref if no CIF),local structure,type,Q^n,1st coord neighbors,1st coord number,2nd coord neighbors,2nd coord number,Chemical Formula,Static/MAS,site_index,diso (ppm),etaQ,CQ (MHz),VASP diso (ppm) (Absolute),VASP etaQ,VASP CQ (MHz),CASTEP diso (absolute),CASEP diso (refed),CASTEP etaQ,CASTEP CQ (MHz),liq ref,NMR Sequence,Field,Reference(s),year of publish,First Authors,Bravais Lattice type,Space Group,Notes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlinite,http://www.crystallography.net/cod/cod/cif/9/00/64/9006404.cif,AlO4-(PO4)4,isolated ,0,O,4,PO4,4,AlPO4,MAS,0,44.5,0.367,4.088,245.3026,0.3313,4.0467,509.59,46.40867648,0.44,3.941,,,6.4T,0009-2614(84)85596-7,1984,D. Müller,Trigonal,P3_221,References connected to structure are crystal structure refs,[5],"O,O,O,O,O","Al,Al,Al,Al,Al,Al,Si,Si,Si,Si",Al2(PO4)(OH)3,MAS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al2Ge2O7,https://materialsproject.org/materials/mp-9751/#,Al2O3-(GeO2),edge-sharing chain ,4,O,5,(AlO5)2(GeO4)5,7,Al2Ge2O7,MAS,0,36,0.4,8.8,245.7104,0.423,-8.311,521.63,33.58461325,0.45,-8.672,,,11.7T,10.1002/mrc.1260281314,1990,D. Massiot,Monoclinic,C2/c,,,"Cl,Cl,Cl,Cl,Cl,Cl","Na,Na,Na,Na,Na,Na,Na,Na,Na,Na",Al2SiO5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaAlGe2O7,https://materialsproject.org/materials/mp-1211910/#,AlO5-(GeO4)5-(LaO7)3,isolated,0,O,5,(GeO4)5-(LaO7)2,7,LaAlGe2O7,MAS,4,35,0.3,7.2,245.951,0.1626,-6.3374,516.15,39.42147924,0.15,-7.085,,,11.7T,10.1002/mrc.1260281314,1990,D. Massiot,Monoclinic,P2_1/c,,,,"Al,Al,Al,Al,Al,Al,Al,Al,Be,Be,Be,Be",AlPO4,
Aluminum chloride,https://materialsproject.org/materials/mp-25469/,(AlO6)-(AlO6)3,edge-sharing 2D network,6,Cl,6,(AlO6)3,3,AlCl3,MAS,0,,0.1,0.425,234.7815,0.1489,0.1746,538.54,15.57340818,0.16,0.267,,,,10.1006/jmra.1995.1007,1995,S.W. Ding,Monoclinic,C2/m,,,,"S,S,S,S,S,S",Be3Al2(SiO3)6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α-Al2O3,https://materialsproject.org/materials/mp-1143/#,(AlO6)-(AlO6)4,face and edge-sharing 3D network,6,O,6,(AlO6)3,4,Al2O3,MAS,0,,0,2.38,229.7111,0.0003,2.0715,539.94,14.08223803,0,2.217,,45acq,9.4T,10.1016/0022-2364(89)90333-8,1989,H. J. Jakobsen,Trigonal,R3(bar)c,,,,,Ca2Al2(Fe3+;Al)(SiO4)(Si2O7)O(OH),
Andalusite,https://materialsproject.org/materials/mp-4753/#,,,,"O,O,O,O,O",[5],,,Al2SiO5,MAS,4,36,0.7,5.9,244.9404,0.6705,4.5394,523.46,31.63544085,0.64,4.822,,45acq,14T,10.1016/0022-2364(91)90015-L,1991,S.F. Dec,Orthorhombic,Pnnm,,,,,Ca2Al3(SiO4)(Si2O7)O(OH),
Andalusite,https://materialsproject.org/materials/mp-4753/#,,,,"O,O,O,O,O,O",[6],,,Al2SiO5,MAS,0,12,0.12,15.5,223.3319,0.1704,14.9328,547.04,6.519875168,0.17,15.58,,45acq,14T,10.1016/0022-2364(91)90015-L,1991,S.F. Dec,Orthorhombic,Pnnm,,,,,Ca3Al2(SiO4)3,
Ca3Al2O6,https://materialsproject.org/materials/mp-12147/,,,,O,4,,,Ca3Al2O6,,96,79.5,0.32,8.69,281.89,0.44,-7.524,482.02,75.77407707,0.48,-7.617,,,,10.1016/0022-2364(91)90367-3,1991,J. Skibsted,Cubic,Pa3(bar),,,,,CaAl2(Al2Si2)O10(OH)2,
